Bloc,Composant,Quantité,Spécification,Obligatoire,Remarque
Contrôle,Teensy 4.0 officiel,1,USB natif et i.MXRT1062,oui,Choix simplicité et latence
DAC,Module MCP4822 SPI,1,DAC 12 bits référence 2.048 V,oui,LDAC à GND
Galvo,Kit XY 20 kpps boucle fermée,1,drivers support et alimentation inclus,oui,X balaie et Y reste centré
Interface,Module offset et gain analogique,1,0-2.048 V vers entrée galvo avec bande passante >20 kHz,oui,Évite PCB analogique
Laser,Module rouge 650 nm TTL,1,puissance mesurée <=1 mW et TTL 3.3 V,oui,Prototype seulement
Support laser,Support métallique réglable 12 mm,1,fixation par vis sur planche,conseillé,Plus simple qu'une pièce spécifique
Détection,Module OPT101,1,photodiode et TIA intégrés,oui,Tube noir standard
Octave,Breakout VL53L4CD,1,3.3 V et I2C,oui,Quatre zones d'octave
Alimentation,Buck 5 V faible bruit,1,5 V 1 A,oui,Laser et auxiliaires
Sécurité,Arrêt urgence NF,1,verrouillage mécanique,oui,Coupe physiquement le laser
Sécurité,Microcontact capot NF,1,contact normalement fermé,oui,Coupe physiquement le laser
Commande,Bouton ARM,1,momentané NO,oui,Armement manuel
Surveillance,Résistances 12 kΩ et 22 kΩ,1 chacune,1 %,oui,Diviseur 5 V vers pin 3
TTL,Résistances 1 kΩ et 10 kΩ,1 chacune,1 %,oui,Série et rappel laser
Filtrage,Condensateur 100 nF,2,film ou céramique,oui,Surveillance et découplage
Câblage,Borniers JST ou WAGO,1 lot,détrompés,oui,Pas de breadboard en usage
Mécanique,Planche contreplaqué,1,600 x 300 x 12-18 mm,oui,Base du prototype
Mécanique,Entretoises nylon M2 M2.5 M3,1 lot,cartes électroniques,oui,Évite boîtiers imprimés
Mécanique,Petites équerres métalliques,2 à 4,fixation capteur et accessoires,oui,Universelles
Mécanique,Colliers à embase vissée,1 lot,gestion câbles,oui,Décharge de traction
Mécanique,Tube noir mat,1,diamètre adapté OPT101,oui,Capot optique sans impression
Mécanique,Filament PETG noir mat,1 bobine,adaptateurs de secours,non,Impression seulement si nécessaire
Optique,Filtre rouge 650 nm,1,petit filtre,non,Pour lumière ambiante difficile
